pdq,Spdq,aic
"(1, 0, 2)","(0, 2, 0, 36)",1215.6866201624885
"(2, 0, 2)","(0, 2, 0, 36)",1217.7581806656112
"(0, 0, 2)","(0, 2, 1, 36)",1230.7272773163277
"(0, 0, 2)","(2, 2, 0, 36)",1231.2486465455438
"(0, 0, 2)","(0, 2, 2, 36)",1231.894896610818
"(0, 0, 2)","(1, 2, 1, 36)",1232.2979489657541
"(0, 0, 2)","(1, 2, 0, 36)",1232.5058213652571
"(0, 0, 2)","(2, 2, 1, 36)",1232.959309341213
"(0, 0, 2)","(1, 2, 2, 36)",1233.8538334191567
"(0, 0, 2)","(2, 2, 2, 36)",1234.9498947542215
"(0, 0, 2)","(0, 2, 0, 36)",1235.805406789058
"(0, 0, 1)","(0, 2, 1, 36)",1244.3011479071274
"(0, 0, 1)","(2, 2, 0, 36)",1245.9817896170866
"(0, 0, 1)","(0, 2, 2, 36)",1246.2483689257595
"(0, 0, 1)","(1, 2, 1, 36)",1246.2705125531843
"(0, 0, 1)","(1, 2, 0, 36)",1246.6562156411496
"(0, 0, 1)","(2, 2, 1, 36)",1247.3689577279667
"(0, 0, 1)","(1, 2, 2, 36)",1248.0329445443388
"(0, 0, 1)","(2, 2, 2, 36)",1249.3169465153014
"(0, 0, 1)","(0, 2, 0, 36)",1249.4834709839122
"(0, 0, 0)","(0, 2, 1, 36)",1272.663597129143
"(0, 0, 0)","(0, 2, 2, 36)",1273.7451510710503
"(0, 0, 0)","(1, 2, 1, 36)",1274.0680453494977
"(0, 0, 0)","(2, 2, 1, 36)",1275.54424372233
"(0, 0, 0)","(1, 2, 2, 36)",1275.714179252719
"(0, 0, 0)","(2, 2, 2, 36)",1276.7673901075746
"(0, 0, 0)","(2, 2, 0, 36)",1277.0447539889692
"(0, 0, 0)","(1, 2, 0, 36)",1277.418763141372
"(0, 0, 0)","(0, 2, 0, 36)",1288.378827766219
"(0, 2, 1)","(1, 1, 0, 36)",1863.7357007802277
"(0, 2, 2)","(1, 1, 0, 36)",1864.5777772270244
"(0, 2, 1)","(1, 1, 1, 36)",1865.1529006146118
"(1, 2, 1)","(0, 1, 1, 36)",1865.7777902878952
"(0, 2, 2)","(0, 1, 1, 36)",1865.9028384029896
"(0, 2, 1)","(1, 1, 2, 36)",1866.0317009284647
"(0, 2, 2)","(0, 1, 2, 36)",1866.1441070116714
"(0, 2, 1)","(0, 1, 1, 36)",1868.6135488618315
"(2, 2, 2)","(1, 1, 0, 36)",1868.6592346155958
"(2, 2, 2)","(0, 1, 1, 36)",1869.9859240343421
"(0, 1, 0)","(1, 1, 0, 36)",1879.8304383787215
"(0, 1, 1)","(1, 1, 0, 36)",1880.7562895799183
"(0, 1, 0)","(2, 1, 0, 36)",1881.0530630403118
"(0, 1, 2)","(1, 1, 0, 36)",1882.7193102438198
"(1, 2, 1)","(1, 1, 0, 36)",1883.6376108774389
"(0, 2, 2)","(1, 1, 1, 36)",1884.7249954927552
"(0, 2, 2)","(2, 1, 0, 36)",1884.729161830373
"(1, 2, 2)","(1, 1, 0, 36)",1884.8173204105785
"(0, 2, 1)","(2, 1, 0, 36)",1884.8700567819058
"(1, 2, 1)","(1, 1, 1, 36)",1885.2327527030836
"(1, 2, 1)","(2, 1, 0, 36)",1885.237023055375
"(2, 2, 1)","(1, 1, 0, 36)",1885.4577492138278
