,pdq,Spdq,aic
675,"(2, 2, 0)","(0, 1, 1, 12)",1953.0790423826488
1269,"(4, 2, 2)","(1, 1, 1, 12)",1953.1222130306235
986,"(3, 2, 3)","(0, 1, 1, 12)",1953.1814203135134
1600,"(5, 3, 2)","(0, 1, 0, 12)",1953.197703891519
390,"(1, 2, 0)","(1, 1, 0, 12)",1953.3370968750407
115,"(0, 2, 2)","(0, 1, 1, 12)",1953.4010499395026
419,"(1, 2, 4)","(0, 1, 1, 12)",1953.4313670017564
990,"(3, 2, 3)","(1, 1, 1, 12)",1953.4829320634597
110,"(0, 2, 1)","(1, 1, 0, 12)",1953.5434939796062
1653,"(5, 4, 2)","(1, 1, 1, 12)",1953.5498559864732
973,"(3, 2, 1)","(1, 1, 0, 12)",1953.6357909722367
1257,"(4, 2, 1)","(0, 1, 1, 12)",1953.6860881315426
394,"(1, 2, 1)","(0, 1, 0, 12)",1953.7599522740475
1265,"(4, 2, 2)","(0, 1, 1, 12)",1953.9156535030315
707,"(2, 2, 4)","(0, 1, 1, 12)",1953.9246692953777
1541,"(5, 2, 0)","(1, 1, 1, 12)",1953.9585198997975
1581,"(5, 2, 5)","(1, 1, 1, 12)",1953.9722457318876
427,"(1, 2, 5)","(0, 1, 1, 12)",1953.9730374336925
1645,"(5, 4, 1)","(1, 1, 1, 12)",1954.1743049093852
1649,"(5, 4, 2)","(0, 1, 1, 12)",1954.350509472133
1648,"(5, 4, 2)","(0, 1, 0, 12)",1954.367733725336
1261,"(4, 2, 1)","(1, 1, 1, 12)",1954.4331516407408
981,"(3, 2, 2)","(1, 1, 0, 12)",1954.5495280199546
1641,"(5, 4, 1)","(0, 1, 1, 12)",1954.5567237879034
414,"(1, 2, 3)","(1, 1, 0, 12)",1954.5668639439648
1616,"(5, 3, 4)","(0, 1, 0, 12)",1954.6170808944657
699,"(2, 2, 3)","(0, 1, 1, 12)",1954.6801214111965
1002,"(3, 2, 5)","(0, 1, 1, 12)",1954.8039187905147
1134,"(3, 5, 3)","(1, 1, 1, 12)",1954.8478722253728
1433,"(4, 5, 5)","(0, 1, 1, 12)",1954.860704394179
962,"(3, 2, 0)","(0, 1, 1, 12)",1954.9850969827148
1725,"(5, 5, 5)","(1, 1, 1, 12)",1955.046754429803
1277,"(4, 2, 3)","(1, 1, 1, 12)",1955.1021360061773
678,"(2, 2, 0)","(1, 1, 0, 12)",1955.1394884781496
1545,"(5, 2, 1)","(0, 1, 1, 12)",1955.1621112425498
491,"(1, 4, 1)","(0, 1, 1, 12)",1955.2182712707229
